OrigTrialNum,Subj,Subj_Ranked,SexFM,StyleDR,Block,Trial,MinDist,HitFlag,t_throwOnset,t_HSmax,t_MinDist,t_InterTrial,PeakHandSpeed,PeakTipSpeed,WhipExt_PeakHand,WhipAzAng_PeakHand,HandAzAng_PeakHand
1,1,10,0,1,1,1,0.0254965940482333,1,1.212,1.548,1.792,NaN,5.53502243464072,31.7766399413937,1.50557858463647,1.04918589830179,24.3013678440206
2,1,10,0,1,1,2,0.153801083490735,0,0.982,1.33,1.588,5.084,5.71642829386609,28.6094595589168,1.46640869493298,17.1912974328776,16.8177523904068
3,1,10,0,1,1,3,0.0244955902143486,1,1.13,1.422,1.662,5.424,5.81485091092641,29.971547950587,1.48898552043505,-4.62995134540091,18.8380467889014
4,1,10,0,1,1,4,0.0595515624917011,0,1.254,1.556,1.788,5.794,6.03507756978384,34.1536552378389,1.50481873272722,-6.38491631883369,17.9571844314393
5,1,10,0,1,1,5,0.149775308577581,0,1.17,1.482,1.716,5.414,6.22215374732764,30.7757421214267,1.50410565695428,-1.58890230670625,37.191125541363
6,1,10,0,1,1,6,0.0389002555605784,0,1.19,1.482,1.696,5.67,6.54642940819031,36.3567682110558,1.51797164685324,0.197985513630023,18.6924639116016
7,1,10,0,1,1,7,0.0339422505369904,1,1.232,1.562,1.754,5.558,6.18867794250854,32.4674745056546,1.52263174051819,1.17160694005374,36.107430258631
8,1,10,0,1,1,8,0.0356607120348145,0,1.154,1.442,1.664,5.11,6.10688912891064,32.7187648663426,1.51112404686549,1.24724583119905,19.4182260660664
9,1,10,0,1,1,9,0.222668213676838,0,1.186,1.478,1.694,5.044,6.73624919361668,35.3515575923521,1.46378714449499,-5.62497465554486,37.1612640099861
10,1,10,0,1,1,10,0.0293696829327848,1,1.264,1.57,1.798,5.166,6.26633154507566,31.634447417089,1.40269027105489,1.51677320988801,27.6416122537353
11,1,10,0,1,1,11,0.103156419384296,0,1.242,1.5,1.736,5.184,5.53175858925135,31.3807531487633,1.50340203193837,-3.3327867633061,29.991022535461
12,1,10,0,1,1,12,0.104897267032458,0,1.128,1.386,1.602,5.094,6.4484512066184,36.1170582702965,1.51745685349543,2.49012002110703,24.380336157544
13,1,10,0,1,1,13,0.0206873885140512,1,1.334,1.648,1.856,5.62800000000001,5.22283958735243,28.4198994852769,1.47519959608052,3.24205620028483,47.9995692634363
14,1,10,0,1,1,14,0.0763476885711907,0,1.222,1.526,1.72,4.878,6.16957317220544,36.6950661842267,1.53101479002298,12.9940806246767,20.9292870775344
15,1,10,0,1,1,15,0.161442989738309,0,1.216,1.504,1.728,4.764,5.90849814701809,30.090317766403,1.49798188700768,-5.77818460607159,33.8989967461269
16,1,10,0,1,1,16,0.00764360566896918,1,1.222,1.506,1.716,4.908,6.75762739127362,34.9769318716444,1.43429814655199,0.643488624986408,22.9574106888446
17,1,10,0,1,1,17,0.0790320458452936,0,1.326,1.616,1.832,4.97799999999999,6.05079525405494,32.1974144832355,1.48956260329154,-1.64194858284355,37.040128771685
18,1,10,0,1,1,18,0.0444636700311332,0,1.312,1.588,1.784,4.898,6.77141363243551,36.3658375935909,1.49314964502884,5.25089073623325,27.6015866319486
19,1,10,0,1,1,19,0.110944273094631,0,1.252,1.55,1.77,4.83200000000001,5.76536486513137,32.6970262898782,1.50518113303521,2.73440733252889,32.4133901284813
20,1,10,0,1,1,20,0.0958247476885652,0,1.362,1.706,1.918,5.28999999999999,5.99095910133051,35.1005421350965,1.49055105947599,0.95470099996063,29.3950136297507
21,1,10,0,1,1,21,0.105161216309185,0,1.282,1.576,1.782,5.298,6.19084100757365,32.6467268003734,1.42773723487853,-10.2026846802283,36.1677497434433
22,1,10,0,1,1,22,0.0768953382621872,0,1.134,1.438,1.654,5.60200000000002,6.08697830698285,32.2423744841228,1.5231805953901,-7.67892151347536,29.3719321653777
23,1,10,0,1,1,23,0.0199214121122318,1,1.098,1.412,1.638,5.34799999999998,5.44799598900294,28.8937048011805,1.49627470935604,-6.21552690748717,22.7361967132863
24,1,10,0,1,1,24,0.0978012728429029,0,1.378,1.672,1.874,5.45,6.11504230055444,35.5809273647996,1.45036891544825,5.90827103909373,28.242726194406
25,1,10,0,1,1,25,0.072171314522575,0,1.168,1.502,1.692,5.35200000000002,6.16764557112952,34.4244556639072,1.50876375527376,1.38174888005533,40.6550021854287
26,1,10,0,1,1,26,0.16625211792644,0,1.228,1.544,1.754,5.42999999999998,5.4544070513149,30.5258567680976,1.49276902252324,7.50137902915368,38.0357983968643
27,1,10,0,1,1,27,0.114583049209197,0,1.232,1.5,1.714,5.93799999999999,6.0289453457202,34.7230491663877,1.46216478013449,-11.0332433052872,27.871057191094
28,1,10,0,1,1,28,0.0751654874726267,0,1.164,1.468,1.684,5.62000000000003,6.12740161804903,32.8896698886785,1.48416665830868,-1.23690228531854,35.597208552511
29,1,10,0,1,1,29,0.0675535707050134,0,1.254,1.574,1.788,5.61199999999999,5.43287006082534,31.6394285508704,1.50010785708531,4.82453851163381,33.5104178338314
30,1,10,0,1,1,30,0.0634274848110859,0,1.248,1.53,1.746,5.75999999999999,5.55837279246171,33.9506581930025,1.40979711508489,-4.40131716612359,19.3694060257576
31,1,10,0,1,1,31,0.134327247927568,0,1.06,1.358,1.57,5.64399999999998,5.96868700270869,33.4587091370757,1.51948432681094,-1.06943307649072,31.6151540298913
32,1,10,0,1,1,32,0.030603528797762,1,1.184,1.47,1.66,5.57400000000001,5.97237980308006,35.1825163198842,1.41573057984731,-4.67966631912731,34.4118891333876
33,1,10,0,1,1,33,0.0921212379116456,0,1.298,1.576,1.786,5.63000000000002,5.82828554369663,36.7649322023526,1.46035174349893,0.819165407920094,29.2329371654277
34,1,10,0,1,2,1,0.146385959511125,0,1.112,1.396,1.616,NaN,6.07335042191288,32.2159066504636,1.46478503671907,-7.73429129118489,20.1027775668297
35,1,10,0,1,2,2,0.0588974565088853,0,1.192,1.462,1.686,4.728,5.96166462706106,34.4771543038304,1.50437085318274,-7.4761356004463,20.0252689463487
36,1,10,0,1,2,3,0.0686575162961131,0,1.252,1.548,1.74,4.912,6.91772842867612,35.9874124212398,1.44702797908264,-1.82217168840043,28.2362017837296
37,1,10,0,1,2,4,0.0544723944696152,0,1.142,1.432,1.63,4.89,6.26171796215339,34.8225289463459,1.49826316313709,-3.50951352705709,28.3393528041227
38,1,10,0,1,2,5,0.00863936413150677,1,1.236,1.496,1.722,4.958,5.77152249793864,31.1387126010095,1.48625612571018,-9.13158123210377,24.4199755428871
39,1,10,0,1,2,6,0.234810703538282,0,1.252,1.55,1.758,5.086,6.75199954342387,34.0370267315041,1.51873317397667,-5.31064571301209,41.5517629226953
40,1,10,0,1,2,7,0.0160288822694678,1,1.322,1.584,1.774,4.948,5.80993420832778,33.8336885912392,1.46233524639728,-1.23385954149097,38.2467243189596
41,1,10,0,1,2,8,0.0334537234747141,0,1.196,1.496,1.686,5.21599999999999,6.10166384169973,32.2080150606341,1.4713048517905,-4.37485086548446,41.3889576859608
42,1,10,0,1,2,9,0.0694958469899425,0,1.33,1.652,1.862,5.168,5.85992191480941,29.8736862517326,1.46283138691635,-3.59365516823112,38.3526924221081
43,1,10,0,1,2,10,0.0320043167045356,1,1.132,1.442,1.652,5.09,5.73964133255229,33.6514874474935,1.51769879865129,-10.1323882549537,24.7530965685701
44,1,10,0,1,2,11,0.0143700404372715,1,1.272,1.54,1.75,5.244,6.13441922302975,33.1424970866724,1.50565505626317,-9.71792358338348,22.3717337071244
45,1,10,0,1,2,12,0.00983212337790858,1,1.19,1.472,1.69,5.18,5.73087001200688,28.8274185572794,1.3903545950085,-16.1824784230076,36.4883683968146
46,1,10,0,1,2,13,0.0171879121851204,1,1.206,1.496,1.704,5.41200000000001,6.34360663618627,32.0704335585859,1.47088492576055,-17.9410865552273,36.679578084027
47,1,10,0,1,2,14,0.10806724058369,0,1.238,1.568,1.79,5.422,5.4368135294504,28.4846353255201,1.49536935766932,-11.8271352288406,38.7979559391568
48,1,10,0,1,2,15,0.128962053093921,0,1.492,1.826,2.032,5.47199999999999,6.12637086779407,31.6950496190037,1.50501640860613,8.50129241364983,32.6322675186868
49,1,10,0,1,2,16,0.0172612176733809,1,1.282,1.666,1.878,5.336,5.86030182909605,31.0873312323869,1.48543913654265,-6.0023809232174,31.6869854989051
50,1,10,0,1,2,17,0.0430438518255487,0,1.484,1.838,2.068,5.64,6.08329102750009,28.644383585079,1.48613188234368,2.3654626034907,39.4066197600388
51,1,10,0,1,2,18,0.0775756904536599,0,1.398,1.652,1.86,6.31000000000002,6.15895379862875,36.6174557999548,1.46269592564566,-2.34155890086873,31.167997665888
52,1,10,0,1,2,19,0.106519064956344,0,1.414,1.722,1.944,5.96399999999998,5.77954987654783,33.2765090666933,1.4993862541868,-8.06397998761389,29.2052409355017
53,1,10,0,1,2,20,0.0329902715882501,1,1.474,1.812,2.008,5.57400000000001,5.69992229188134,31.7142701368943,1.49024746806047,0.952016409502205,40.6760771284843
54,1,10,0,1,2,21,0.186967916844933,0,1.458,1.77,1.974,5.604,5.57385144165146,32.222270669436,1.48751470616881,0.384293122159178,40.8395978966942
55,1,10,0,1,2,22,0.09367562354905,0,1.468,1.77,1.962,5.89399999999999,6.05440137221585,34.2108492116157,1.49857506286028,6.75382782816165,37.2259490451171
56,1,10,0,1,2,23,0.0322731958627601,0,1.238,1.55,1.762,7.714,5.41812894513023,33.0090397795082,1.47756696346133,-3.05042955367247,30.1282723104952
57,1,10,0,1,2,24,0.0601296745795051,0,1.468,1.756,1.956,5.55199999999999,6.07772327642186,34.5246080978115,1.45565480049005,1.33663907674832,39.0781372181404
58,1,10,0,1,2,25,0.154037250604487,0,1.444,1.718,1.946,5.87200000000001,5.63363153979051,32.0194560628065,1.49398051564079,-3.64246991975676,28.1763291637943
59,1,10,0,1,2,26,0.0848819444912783,0,1.112,1.384,1.584,4.976,6.11092747090015,35.0084521275697,1.50146655974186,-6.46750425447766,17.7078775133214
60,1,10,0,1,2,27,0.0792887708206714,0,1.382,1.666,1.854,5.49599999999998,6.52736025844243,35.3488653217938,1.487390430395,-9.77549239624523,30.3491784513228
61,1,10,0,1,2,28,0.049232765282103,0,1.472,1.772,1.998,4.82000000000002,6.00274934178313,31.6968542444491,1.44306232360435,-11.8487148085489,26.2038448239038
62,1,10,0,1,2,29,0.122332678194858,0,1.332,1.638,1.858,5.23999999999998,5.94498553127366,34.2577488804306,1.47052957385927,0.564202430315569,35.8094483938605
63,1,10,0,1,2,30,0.0348602566440038,0,1.388,1.65,1.878,5.21000000000001,5.58376025466925,32.1276115827449,1.4736794499483,-8.66888649172876,26.4067167821208
64,1,10,0,1,2,31,0.0124589618183263,1,1.184,1.452,1.658,5.364,6.24779890059579,33.2222696956973,1.4660999355485,-16.1910415728233,28.2709937817801
65,1,10,0,1,2,32,0.0686244091065793,0,1.35,1.654,1.856,5.75999999999999,5.93689827679308,32.5136208379243,1.48851229572666,-13.0626008169297,36.3927704737137
66,1,10,0,1,3,1,0.145194201516892,0,0.98,1.238,1.474,NaN,5.7511859535741,27.7851413391685,1.46899922831121,-30.9819210938206,18.949870900221
67,1,10,0,1,3,2,0.106204557374985,0,1.26,1.54,1.762,4.974,6.3135580952939,32.6587028949974,1.44415003671698,-1.70862178795102,30.1848307826745
68,1,10,0,1,3,3,0.0644396630488175,0,1.184,1.456,1.656,4.712,6.24538684456686,35.5461394656329,1.53807158929284,-5.50150705702242,22.4152306759386
69,1,10,0,1,3,4,0.0253888595928271,1,1.254,1.536,1.754,4.824,6.05028124947341,34.42093249645,1.46285737246554,3.5463103669977,23.8388182708511
70,1,10,0,1,3,5,0.0196564499931119,1,1.276,1.526,1.736,5.122,5.58342685012292,34.7892514265366,1.50725998520807,-2.32864133170136,22.0134173473707
71,1,10,0,1,3,6,0.0641387042185677,0,1.31,1.588,1.778,5.394,5.8491105169912,32.6725176159204,1.42636703515647,-2.01077425109952,34.109248969162
72,1,10,0,1,3,7,0.0772930034088847,0,1.296,1.58,1.794,5.462,5.82005985428166,30.3206136405389,1.49994513419097,-4.23465444849393,32.8690722912849
73,1,10,0,1,3,8,0.0422801090778845,0,1.174,1.45,1.65,5.422,5.97778800122934,34.0321190013047,1.48306632797904,-3.39147201975004,32.865516882186
74,1,10,0,1,3,9,0.0622492454299691,0,1.232,1.506,1.726,5.27999999999999,5.49364228971947,32.7718859758829,1.49042491131718,-5.90565326066888,28.6888842235417
75,1,10,0,1,3,10,0.0506782125180453,0,1.122,1.438,1.63,5.314,5.75038523454747,35.3741811068331,1.53061084033168,-0.956798560650668,20.8759711377564
76,1,10,0,1,3,11,0.11055371529806,0,1.178,1.482,1.69,5.09,5.33959600498653,30.9686351784825,1.50813964498381,-15.1553397524357,24.3142793464226
77,1,10,0,1,3,12,0.105261360926192,0,1.22,1.516,1.716,5.20400000000001,6.01883485734914,34.1905786492134,1.49613572175397,-12.7700163088221,29.6286985289661
78,1,10,0,1,3,13,0.0585806169628323,0,1.278,1.616,1.82,5.504,5.73622914421332,34.9601750898305,1.51298213774276,-10.9402651002997,36.5580832691513
79,1,10,0,1,3,14,0.0886629051833955,0,1.14,1.454,1.662,5.34999999999999,5.35265364760496,28.9182663115025,1.46055181215013,-11.3281830563408,37.3743237051971
80,1,10,0,1,3,15,0.0328935169071444,0,1.292,1.588,1.79,5.554,5.28726243236824,31.6695616864876,1.48651301303741,-6.2802716098418,28.2500951220863
81,1,10,0,1,3,16,0.0610871305897846,0,1.24,1.51,1.71,5.568,5.91985194961191,34.511141047795,1.4898334803048,-19.3597744691575,30.7466406247882
82,1,10,0,1,3,17,0.0337785291216977,0,1.202,1.458,1.654,5.51000000000001,5.9830148966236,33.8374508326461,1.4596815236262,-17.3692288061861,31.9262131224901
83,1,10,0,1,3,18,0.0188414366765977,1,1.254,1.528,1.722,5.146,5.91545141218036,34.0777484396797,1.41263177094466,-10.3520888382623,33.9599178921274
84,1,10,0,1,3,19,0.0460301610620076,0,1.228,1.506,1.714,5.33,5.95579877052407,36.0010085288953,1.51310064659149,-19.4878622393503,22.2861607270593
85,1,10,0,1,3,20,0.0495381645601921,0,1.274,1.55,1.746,5.16200000000001,6.52189684750602,33.78558971503,1.43584096812894,-9.74563671559497,31.5759864015594
86,1,10,0,1,3,21,0.0527116214970109,0,1.212,1.492,1.682,5.20199999999998,6.36289711923271,37.4927033404344,1.43550795706352,-3.82478631947663,33.0043026342407
87,1,10,0,1,3,22,0.0659671914523798,0,1.434,1.732,1.912,5.45000000000002,6.76199265881801,39.1063965670572,1.4895872405321,5.53763574150467,30.6749319223737
88,1,10,0,1,3,23,0.0709467392809637,0,1.378,1.648,1.828,5.33999999999999,6.43455772721147,37.6318867708976,1.40521823078098,-2.20053421024033,33.6014591878721
89,1,10,0,1,3,24,0.0278374416218514,0,1.308,1.618,1.79,5.126,6.85258279182215,40.234626168752,1.45025907895845,0.617587603598213,32.3199250715529
90,1,10,0,1,3,25,0.0250007364377328,1,1.452,1.738,1.932,5.242,6.11066211828875,37.3080630925813,1.50575130978426,-17.1394475973528,21.7509368816866
91,1,10,0,1,3,26,0.0170242078270989,1,1.168,1.498,1.696,5.21000000000001,6.41274892331989,38.1054018115801,1.48155600174386,-2.36581856046047,31.8827874560978
92,1,10,0,1,3,27,0.0668134731003802,0,1.176,1.456,1.652,5.78399999999999,6.31321474764965,35.6525228488464,1.44621680382391,-13.8869521454641,30.2189391660034
